asin,sale_price,mrp,product_url,full_title,product_image,product_price,brand,item_form,item_package_quantity,package_information,manufacturer,item_weight,item_dimensions_l_x_w_x_h,product_benefits,specific_uses_for_product,active_ingredients,number_of_items,age_range_(description),use_for,flavour,primary_supplement_type,net_quantity,special_ingredients,diet_type,colour,material,special_feature,style,recommended_uses_for_product,product_dimensions,water_resistance_level,opening_mechanism,net_content_count,scent,material_feature,item_volume,skin_type,allergen_information
B082L6YHX9,₹47.99,₹1.60,https://www.amazon.in/dp/B082L6YHX9,Rantac 150 - Strip of 30 Tablets,https://m.media-amazon.com/images/I/81cfntBXTeL._SX679_.jpg,₹47.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0C78348NP,₹522,₹116,https://www.amazon.in/dp/B0C78348NP,"Softovac Isabgol Fiber Plus+ Natural Actives 450g | Psyllium Husk | Complete Relief from Constipation | Gentle on Stomach, Boosts Gut Health - Natural Bowel Regulator for Adults",https://m.media-amazon.com/images/I/71rqKjQl5jL._SX679_.jpg,₹522.00,Softovac,Powder,,,,450 Grams,39 x 19 x 9 Centimeters,,Constipation,,1,Adult,,,,450.0 Grams,,,,,,,,,,,,,,,,
B003WR2T5W,₹208,₹1.16,https://www.amazon.in/dp/B003WR2T5W,"Himalaya Wellness Brahmi, 60 Tablets | Pure Herbs for Mind Wellness | Helps Improves Alertness",https://m.media-amazon.com/images/I/51C0+wVHRFL._SX679_.jpg,₹208.00,Himalaya,Tablet,1,Bottle,"The Himalaya Drug Company, The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930",,,,,,,,,,,,,,,,,,,,,,,,,,,
B0FJ7BB73C,₹169,₹499,https://www.amazon.in/dp/B0FJ7BB73C,"Silver Shark Plastic Medicine Box, First Aid Box, Detachable Tray with Handle, Emergency Indoor Outdoor Medical Utility Cabinet Organizer, Transparent, Portable & Lockable Container, White",https://m.media-amazon.com/images/I/61IO6en8wuL._SX679_.jpg,₹169.00,silver shark,,,,,240 Grams,,,,,,,,,,,,,White,Plastic,Rust Resistant,Asian,medicine box,22L x 12W x 13.5H Centimeters,Not Water Resistant,Snap,,,,,,
B006FE0LO0,₹267,₹4.45,https://www.amazon.in/dp/B006FE0LO0,Himalaya Shallaki | Pain and inflammation | Tablets 60s | Bone and Joint Wellness,https://m.media-amazon.com/images/I/61slw7aM6sL._SX679_.jpg,₹267.00,Himalaya,Tablet,1,Bottle,"Himalaya, The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930",,,,,,,,,,,,,,,,,,,,,,,,,,,
B0BXP6TZGJ,"₹1,400",₹23.33,https://www.amazon.in/dp/B0BXP6TZGJ,"Miduty Triple Thyroid Care Supplement - Rapid Action Formula | KSM-66 Ashwagandha, Sea Kelp, Zinc, Selenium, L-Tyrosine | Supports Thyroid Health | 60 Capsules",https://m.media-amazon.com/images/I/61ouMs9qhwL._SX679_.jpg,"₹1,400.00",Miduty,Capsule,,,,200 Grams,50 x 50 x 50 Millimeters,"ENHANCED STAMINA, VITALITY & OVERALL WELLBEING",,,,Adult,,Unflavoured,,60 Count,ashwagandha,Vegetarian,,,,,,,,,,,,,,
B0786ZQ1PG,₹210,₹1.75,https://www.amazon.in/dp/B0786ZQ1PG,Patanjali Divya Mukta Vati Extra Power - 120 g (120 Tablets),https://m.media-amazon.com/images/I/81MnJAgdirL._SX679_.jpg,₹210.00,Patanjali,Tablets,,,,120 Grams,43.2 x 31.7 x 39.4 Centimeters,Blood Flow Control,Blood Pressure,brahmi,1,Adult,Stomach,,,,,,,,,,,,,,,,,,,
B0FSDNXK71,₹160,₹640,https://www.amazon.in/dp/B0FSDNXK71,SBL Kali Phosphoricum 6x Tablets (SET OF 2 Bottles),"https://m.media-amazon.com/images/I/51dGz7sK3OL._SX679_PIbundle-2,TopRight,0,0_SX679SY647SH20_.jpg",₹160.00,SBL,Tablet,,,,295 Grams,12 x 10 x 3 Centimeters,"Helps In Fatigue, Labour Pain, Vertigo, Sleeplessness, Bed Wetting, Late Menses, Constipation","Fatigue, Labour Pain, Vertigo, Sleeplessness, Bed Wetting, Late Menses, Constipation",Kali Phosphoricum 6x,2,,,,,25.0 Grams,,,,,,,,,,,2 Bottle,,,,,
B01GPMV4RO,₹264,₹220,https://www.amazon.in/dp/B01GPMV4RO,"Dr Ortho Pain Relief Ayurvedic Medicine Oil - 100ml+20ml Extra, Pack Of 1",https://m.media-amazon.com/images/I/61KQOAJmJqL._SX679_.jpg,₹264.00,Dr.Ortho,Oil,,,"Dr Ortho, SBS BIOTECH",,,,,,1,,,,,120.0 Milliliters,"Gandhpura,Cheed,Alsi,Nrgundi,Til,Kapoor,Pudina,Jyotishmati",,,,Ayurvedic formulation with 8 herbs,,,,,,,Unscented,Natural,120 Millilitres,,
B076GXQKDK,₹204,₹340,https://www.amazon.in/dp/B076GXQKDK,Divya Madhunashni Vati Extra Power - 60 g (120 Tablets),https://m.media-amazon.com/images/I/71-ydT9Vm0L._SX679_.jpg,₹204.00,Patanjali,Tablets,,,,60 Grams,34.5 x 22.8 x 10.8 Centimeters,Diabetes Control,Control Diabetes,Gudmar,1,Adult,Stomach,,,,,,,,,,,,,,,,,,,
B084HZRKKW,₹41.93,₹2.10,https://www.amazon.in/dp/B084HZRKKW,Lomofen + - Strip of 20 Tablets,https://m.media-amazon.com/images/I/81MaKb7yDJL._SX679_.jpg,₹41.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B006Y11ES6,₹94,₹94,https://www.amazon.in/dp/B006Y11ES6,"Dabur Gulabari Rose Glow Face Cleanser, Pack of 1,100 Ml",https://m.media-amazon.com/images/I/61DvX+9-W3L._SX679_.jpg,₹94.00,Dabur,Spray,1,,,0.1 Kilograms,38 x 15 x 153 Millimeters,"Cleansing, Hydrating, Moisturizing, Radiant Skin",,,,Adult,,,,,,,,,Nourishing,,,,,,,Rose,,,All,
B0010KQ19I,₹170,₹283.33,https://www.amazon.in/dp/B0010KQ19I,"Vicks Vaporub 50ml ml Relief From Cold, Cough, Blocked Nose, Headache, Body Ache, Muscular Stiffness And Breathing Difficulty",https://m.media-amazon.com/images/I/61IPu+zLouL._SX679_.jpg,₹170.00,Vicks,Cream,,,,50 Grams,43 x 43 x 65 Millimeters,"Cough Relief, Headache Relief, Nasal Relief","Cold, Cough, Headache, Muscle Pain, Sinus Pressure",,1,Kid,Head,,,,,,,,,,,,,,,,,,,
B0725Z92KZ,₹549,₹4.58,https://www.amazon.in/dp/B0725Z92KZ,"Carbamide Forte Veg Calcium And Vitamin D3 Tablets | Calcium Tablets for Women & Men | Magnesium Zinc Supplement With Vitamin D3 + K2 MK7 To Support Bones health, Joints & Immunity - 120 Tablets",https://m.media-amazon.com/images/I/71HCMwVYTQL._SX679_.jpg,₹549.00,Carbamide Forte,Tablet,,,,227 Grams,,Bone Strength,,,1,,,Unflavoured,"Calcium, Magnesium, Zinc",120.0 Count,,Vegan,,,,,,,,,,,,,,Soy Free
B00JNQLIYY,₹384,₹384,https://www.amazon.in/dp/B00JNQLIYY,"DABUR Shilajit Gold - 20 Capsules | 100% Ayurvedic Capsules for Strength , Stamina and Power | Premium Ayurvedic Supplement | For Men",https://m.media-amazon.com/images/I/61c++8ILrCL._SX679_.jpg,₹384.00,Dabur,Capsule,40,Bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0GZQL9GW1,₹263,₹58.44,https://www.amazon.in/dp/B0GZQL9GW1,HAPDCO Gastorin Syrup 450 ml,https://m.media-amazon.com/images/I/71wx6OspMkL._SX679_.jpg,₹263.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0F87XN8TT,₹221,₹736.67,https://www.amazon.in/dp/B0F87XN8TT,Dr.Willmar Schwabe Damia Plant Drops(30 Ml) Pack Of 1,https://m.media-amazon.com/images/I/41SqDTPwMML.jpg,₹221.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B006FE0E1K,₹236,₹3.93,https://www.amazon.in/dp/B006FE0E1K,Himalaya Herbals Gokshura - 60 Capsules,https://m.media-amazon.com/images/I/616jBNbzrPL._SX679_.jpg,₹236.00,Himalaya,Tablet,1,Bottle,"Himalaya, The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930",,,,,,,,,,,,,,,,,,,,,,,,,,,
